Number,Station,x,y
-8.6,USC00059278,37.5594,108.6636
-3.35,USC00059295,40.1236,102.7217
-4.15,USC00060227,41.8417,-73.0086
-1.95,USC00060973,41.7944,-72.9319
0.85,USC00061762,41.4003,-73.4211
-3.6,USC00062658,41.95,-73.3667
0.55,USC00063207,41.3503,-72.0378
-6.95,USC00063420,41.7675,-72.0531
-4.15,USC00065445,41.9725,-73.2208
-3.9,USC00067958,41.9983,-72.2606
-0.25,USC00067970,41.1247,-73.5475
-3.6,USC00068138,41.795,-72.2286
2.25,USC00071200,39.5917,-75.7325
2.2,USC00072730,39.1467,-75.5056
1.1,USC00073595,38.8161,-75.5761
2.2,USC00079605,39.7739,-75.5414
18.6,USC00080228,27.2178,-81.8742
19.45,USC00080236,27.1819,-81.3508
19.7,USC00080369,27.5947,-81.5267
22.8,USC00080414,24.6553,-81.2803
16.95,USC00080478,27.8861,-81.8325
19.75,USC00080737,26.3283,-80.9958
15.25,USC00080945,27.4467,-82.5014
19.75,USC00080992,27.0436,-81.07
5.85,USC00081022,30.3794,-84.9789
16.95,USC00081046,28.6164,-82.3658
20.0,USC00081276,26.8639,-80.6256
21.65,USC00081306,25.6719,-80.1567
13.35,USC00081544,30.7806,-85.5503
18.6,USC00081641,28.4558,-81.7233
20.0,USC00081651,26.7361,-81.0492
17.75,USC00081978,29.425,-81.5161
